pattern,k,frequency,expected occurrences,percentage
2po,3,81,0.0032984485075538542,0.32984485075538544
por,3,149,0.0060675163904385715,0.6067516390438571
orq,3,22,0.000895874903286232,0.0895874903286232
rqn,3,45,0.0018324713930854746,0.18324713930854747
2por,4,42,0.001710306633546443,0.17103066335464429
porq,4,4,0.0001628863460520422,0.01628863460520422
orqn,4,12,0.0004886590381561266,0.04886590381561266
s,1,3601,0.14663843303335097,14.549822861098669
to,2,2041,0.08311275807305453,8.299059331351549
on,2,2016,0.08209471841022926,8.176894571812518
ns,2,2178,0.08869161542533698,8.869161542533698
2to,3,1247,0.05077981838172415,5.077981838172415
ton,3,941,0.03831901290874293,3.831901290874293
ons,3,100,0.004072158651301055,0.4072158651301055
2ton,4,39,0.0015881418740074113,0.15881418740074113
tons,4,22,0.000895874903286232,0.0895874903286232
a,1,643,0.026183980127865783,2.5369548397605572
ta,2,114,0.0046422608624832025,0.46422608624832024
ar,2,153,0.006230402736490614,0.6189681149977603
2ta,3,73,0.00297267581544977,0.297267581544977
tar,3,47,0.0019139145661114956,0.19139145661114956
arn,3,141,0.005741743698334487,0.5701022111821477
2tar,4,33,0.001343812354929348,0.13438123549293482
tarn,4,40,0.0016288634605204219,0.1628863460520422
ot,2,619,0.02520666205155353,2.5165940465040517
tot,3,35,0.0014252555279553691,0.14252555279553691
otr,3,161,0.006556175428594698,0.6515453842081688
2tot,4,16,0.0006515453842081688,0.06515453842081688
totr,4,7,0.00028505110559107384,0.028505110559107386
otrn,4,149,0.0060675163904385715,0.6067516390438571
2tn,3,4527,0.18434662214439876,18.434662214439875
tnr,3,134,0.005456692592743413,0.5456692592743413
2tnr,4,119,0.004845868795048255,0.48458687950482554
tnrn,4,122,0.004968033554587287,0.49680335545872867
ts,2,173,0.0070448344667508244,0.7044834466750824
so,2,249,0.010139675041739626,1.0098953455226616
oa,2,240,0.009773180763122532,0.9691737590096511
2ts,3,70,0.0028505110559107383,0.28505110559107383
tso,3,26,0.0010587612493382743,0.10587612493382743
soo,3,102,0.004153601824327076,0.4153601824327076
ooa,3,69,0.0028097894693977278,0.28097894693977277
2tso,4,16,0.0006515453842081688,0.06515453842081688
tsoo,4,9,0.0003664942786170949,0.036649427861709494
sooa,4,1,4.072158651301055e-05,0.004072158651301055
tns,3,268,0.010913385185486827,1.0913385185486826
rnn,3,704,0.028667996905159424,2.8627275318646417
nns,3,605,0.024636559840371382,2.463655984037138
2trn,4,233,0.009488129657531458,0.9488129657531458
trnn,4,303,0.012338640713442196,1.2338640713442195
rnns,4,25,0.0010180396628252637,0.10180396628252637
tqn,3,276,0.011239157877590911,1.123915787759091
tnn,3,4322,0.1759986969092316,17.59986969092316
2tnn,4,247,0.010058231868713605,1.0058231868713605
tnns,4,185,0.007533493504906951,0.7533493504906951
too,3,276,0.011239157877590911,1.123915787759091
nnn,3,138,0.0056195789387954555,0.521236307366535
tnnn,4,63,0.0025654599503196645,0.25654599503196646
nnns,4,55,0.00223968725821558,0.22396872582155802
tt,2,167,0.006800504947672761,0.6515453842081688
2tt,3,91,0.0037056643726839597,0.37056643726839594
ttn,3,54,0.0021989656717025696,0.21989656717025696
ttr,3,51,0.002076800912163538,0.2076800912163538
2ttr,4,31,0.001262369181903327,0.1262369181903327
ttrn,4,45,0.0018324713930854746,0.18324713930854747
2too,4,102,0.004153601824327076,0.4153601824327076
toor,4,30,0.0012216475953903164,0.12216475953903165
nt,2,152,0.006189681149977603,0.6189681149977603
rr,2,59,0.0024025736042676223,0.24025736042676224
tnt,3,14,0.0005701022111821477,0.05701022111821477
ntr,3,73,0.00297267581544977,0.297267581544977
trr,3,13,0.0005293806246691371,0.05293806246691372
rrn,3,58,0.002361852017754612,0.23618520177546118
2tnt,4,8,0.0003257726921040844,0.03257726921040844
tntr,4,3,0.00012216475953903165,0.012216475953903166
ntrr,4,1,4.072158651301055e-05,0.004072158651301055
trrn,4,13,0.0005293806246691371,0.05293806246691372
ttt,3,7,0.00028505110559107384,0.028505110559107386
2ttt,4,6,0.0002443295190780633,0.02443295190780633
tttn,4,6,0.0002443295190780633,0.02443295190780633
otn,3,235,0.009569572830557479,0.9569572830557479
totn,4,11,0.000447937451643116,0.0447937451643116
qs,2,38,0.0015474202874944008,0.15474202874944007
tqs,3,5,0.00020360793256505273,0.020360793256505274
oon,3,189,0.007696379850958993,0.7696379850958993
toon,4,42,0.001710306633546443,0.17103066335464429
tp,2,58,0.002361852017754612,0.23618520177546118
2tp,3,36,0.0014659771144683797,0.14659771144683797
tpo,3,52,0.0021175224986765486,0.21175224986765487
pon,3,39,0.0015881418740074113,0.15881418740074113
2tpo,4,23,0.0009365964897992425,0.09365964897992425
tpon,4,4,0.0001628863460520422,0.01628863460520422
tto,3,23,0.0009365964897992425,0.09365964897992425
2tto,4,9,0.0003664942786170949,0.036649427861709494
tton,4,6,0.0002443295190780633,0.02443295190780633
nq,2,142,0.005782465284847498,0.5578857352282445
qr,2,167,0.006800504947672761,0.6800504947672761
2on,3,16,0.0006515453842081688,0.06515453842081688
onn,3,54,0.0021989656717025696,0.21989656717025696
nnq,3,8,0.0003257726921040844,0.03257726921040844
nqr,3,14,0.0005701022111821477,0.05701022111821477
qrn,3,160,0.006515453842081687,0.6515453842081688
2onn,4,1,4.072158651301055e-05,0.004072158651301055
onnq,4,2,8.14431730260211e-05,0.00814431730260211
nnqr,4,1,4.072158651301055e-05,0.004072158651301055
nqrn,4,14,0.0005701022111821477,0.05701022111821477
an,2,91,0.0037056643726839597,0.37056643726839594
tan,3,26,0.0010587612493382743,0.10587612493382743
os,2,973,0.039622103677159265,3.9540660504133243
sr,2,458,0.01865048662295883,1.865048662295883
2os,3,9,0.0003664942786170949,0.036649427861709494
osr,3,204,0.008307203648654152,0.8307203648654152
srn,3,427,0.017388117441055503,1.7388117441055502
2osr,4,3,0.00012216475953903165,0.012216475953903166
osrn,4,191,0.007777823023985014,0.7777823023985014
2ot,3,246,0.010017510282200595,1.0017510282200595
2otn,4,71,0.002891232642423749,0.2891232642423749
otnn,4,69,0.0028097894693977278,0.28097894693977277
otq,3,19,0.0007737101437472004,0.07737101437472003
2otq,4,13,0.0005293806246691371,0.05293806246691372
otqn,4,15,0.0006108237976951582,0.061082379769515825
2q,2,317,0.012908742924624343,1.2908742924624343
qt,2,455,0.018528321863419798,1.8487600276906788
2qt,3,271,0.011035549945025858,1.1035549945025858
qtn,3,53,0.002158244085189559,0.2158244085189559
nrr,3,11,0.000447937451643116,0.0447937451643116
2qtn,4,15,0.0006108237976951582,0.061082379769515825
qtnr,4,1,4.072158651301055e-05,0.004072158651301055
tnrr,4,10,0.00040721586513010546,0.04072158651301055
nrrn,4,11,0.000447937451643116,0.0447937451643116
qtt,3,7,0.00028505110559107384,0.028505110559107386
2qtt,4,4,0.0001628863460520422,0.01628863460520422
qttn,4,3,0.00012216475953903165,0.012216475953903166
sor,3,39,0.0015881418740074113,0.15881418740074113
tsor,4,8,0.0003257726921040844,0.03257726921040844
sorn,4,36,0.0014659771144683797,0.14659771144683797
toa,3,38,0.0015474202874944008,0.15474202874944007
oar,3,76,0.0030948405749888015,0.30948405749888014
2toa,4,27,0.0010994828358512848,0.10994828358512848
toar,4,18,0.0007329885572341898,0.07329885572341899
oarn,4,70,0.0028505110559107383,0.28505110559107383
2or,3,196,0.007981430956550068,0.7981430956550067
oot,3,69,0.0028097894693977278,0.28097894693977277
2oot,4,8,0.0003257726921040844,0.03257726921040844
ootr,4,20,0.0008144317302602109,0.0814431730260211
ooo,3,482,0.019627804699271084,1.5311316528891965
oos,3,383,0.015596367634483039,1.559636763448304
oso,3,96,0.003909272305249013,0.3909272305249013
2ooo,4,27,0.0010994828358512848,0.10994828358512848
ooos,4,49,0.001995357739137517,0.19953577391375169
ooso,4,15,0.0006108237976951582,0.061082379769515825
tor,3,163,0.006637618601620719,0.663761860162072
2tor,4,97,0.003949993891762023,0.3949993891762023
torn,4,148,0.006026794803925561,0.6026794803925561
qto,3,55,0.00223968725821558,0.22396872582155802
2qto,4,21,0.0008551533167732215,0.08551533167732214
qtoo,4,14,0.0005701022111821477,0.05701022111821477
qtr,3,283,0.011524208983181985,1.1524208983181985
2qtr,4,186,0.0075742150914199615,0.7574215091419961
qtrn,4,272,0.011076271531538869,1.1076271531538868
qq,2,46,0.001873192979598485,0.17510282200594535
2qq,3,19,0.0007737101437472004,0.07737101437472003
qqt,3,26,0.0010587612493382743,0.10587612493382743
2qqt,4,17,0.0006922669707211793,0.06922669707211793
qqtr,4,21,0.0008551533167732215,0.08551533167732214
2pon,4,3,0.00012216475953903165,0.012216475953903166
ponn,4,3,0.00012216475953903165,0.012216475953903166
rt,2,97,0.003949993891762023,0.3909272305249013
trt,3,13,0.0005293806246691371,0.05293806246691372
rto,3,19,0.0007737101437472004,0.07737101437472003
2trt,4,4,0.0001628863460520422,0.01628863460520422
trto,4,3,0.00012216475953903165,0.012216475953903166
ornn,4,153,0.006230402736490614,0.6230402736490613
2nr,3,23,0.0009365964897992425,0.09365964897992425
2nrn,4,4,0.0001628863460520422,0.01628863460520422
nrnn,4,50,0.0020360793256505275,0.20360793256505275
ort,3,65,0.0026469031233456856,0.2646903123345686
2ort,4,34,0.0013845339414423586,0.13845339414423585
orto,4,13,0.0005293806246691371,0.05293806246691372
rtor,4,3,0.00012216475953903165,0.012216475953903166
sa,2,13,0.0005293806246691371,0.05293806246691372
ao,2,205,0.008347925235167163,0.818503888911512
tsa,3,4,0.0001628863460520422,0.01628863460520422
sao,3,3,0.00012216475953903165,0.012216475953903166
aoo,3,78,0.0031762837480148226,0.3135562161501812
2tsa,4,3,0.00012216475953903165,0.012216475953903166
tsao,4,2,8.14431730260211e-05,0.00814431730260211
saoo,4,2,8.14431730260211e-05,0.00814431730260211
qtnn,4,12,0.0004886590381561266,0.04886590381561266
rns,3,99,0.004031437064788044,0.40314370647880443
nrns,4,15,0.0006108237976951582,0.061082379769515825
tos,3,43,0.0017510282200594535,0.17510282200594535
2orn,4,79,0.003217005334527833,0.3217005334527833
sn,2,76,0.0030948405749888015,0.30948405749888014
tsn,3,25,0.0010180396628252637,0.10180396628252637
snn,3,6,0.0002443295190780633,0.02443295190780633
2tsn,4,4,0.0001628863460520422,0.01628863460520422
tsnn,4,5,0.00020360793256505273,0.020360793256505274
srnn,4,32,0.0013030907684163375,0.13030907684163376
tao,3,21,0.0008551533167732215,0.08551533167732214
aor,3,36,0.0014659771144683797,0.14659771144683797
2tao,4,7,0.00028505110559107384,0.028505110559107386
taor,4,5,0.00020360793256505273,0.020360793256505274
aorn,4,35,0.0014252555279553691,0.14252555279553691
2tos,4,16,0.0006515453842081688,0.06515453842081688
tosr,4,13,0.0005293806246691371,0.05293806246691372
no,2,341,0.013886061000936596,1.3886061000936596
tno,3,56,0.0022804088447285907,0.22804088447285908
op,2,115,0.004682982448996213,0.4682982448996213
2op,3,12,0.0004886590381561266,0.04886590381561266
opo,3,60,0.002443295190780633,0.2443295190780633
2opo,4,10,0.00040721586513010546,0.04072158651301055
opor,4,12,0.0004886590381561266,0.04886590381561266
porn,4,141,0.005741743698334487,0.5741743698334487
oq,2,37,0.0015066987009813902,0.14659771144683797
2oq,3,15,0.0006108237976951582,0.061082379769515825
oqr,3,13,0.0005293806246691371,0.05293806246691372
2oqr,4,8,0.0003257726921040844,0.03257726921040844
oqrn,4,10,0.00040721586513010546,0.04072158651301055
tonn,4,19,0.0007737101437472004,0.07737101437472003
otno,4,2,8.14431730260211e-05,0.00814431730260211
rnt,3,14,0.0005701022111821477,0.05701022111821477
trnt,4,6,0.0002443295190780633,0.02443295190780633
rntr,4,6,0.0002443295190780633,0.02443295190780633
ntrn,4,70,0.0028505110559107383,0.28505110559107383
4,1,12,0.0004886590381561266,0.04886590381561266
2s,2,18,0.0007329885572341898,0.07329885572341899
s4,2,3,0.00012216475953903165,0.012216475953903166
4t,2,1,4.072158651301055e-05,0.004072158651301055
na,2,71,0.002891232642423749,0.2891232642423749
2s4,3,1,4.072158651301055e-05,0.004072158651301055
s4t,3,1,4.072158651301055e-05,0.004072158651301055
4tr,3,1,4.072158651301055e-05,0.004072158651301055
nna,3,2,8.14431730260211e-05,0.00814431730260211
2s4t,4,1,4.072158651301055e-05,0.004072158651301055
s4tr,4,1,4.072158651301055e-05,0.004072158651301055
4trn,4,1,4.072158651301055e-05,0.004072158651301055
rnna,4,2,8.14431730260211e-05,0.00814431730260211
2ooa,4,1,4.072158651301055e-05,0.004072158651301055
ooar,4,16,0.0006515453842081688,0.06515453842081688
ro,2,21,0.0008551533167732215,0.08551533167732214
tsr,3,78,0.0031762837480148226,0.31762837480148226
sro,3,4,0.0001628863460520422,0.01628863460520422
roo,3,3,0.00012216475953903165,0.012216475953903166
ott,3,11,0.000447937451643116,0.0447937451643116
trq,3,24,0.0009773180763122532,0.09773180763122533
2tsr,4,24,0.0009773180763122532,0.09773180763122533
tsro,4,1,4.072158651301055e-05,0.004072158651301055
sroo,4,1,4.072158651301055e-05,0.004072158651301055
root,4,3,0.00012216475953903165,0.012216475953903166
oott,4,2,8.14431730260211e-05,0.00814431730260211
ottr,4,5,0.00020360793256505273,0.020360793256505274
ttrq,4,5,0.00020360793256505273,0.020360793256505274
trqn,4,15,0.0006108237976951582,0.061082379769515825
rtn,3,16,0.0006515453842081688,0.06515453842081688
ortn,4,7,0.00028505110559107384,0.028505110559107386
12,2,1,4.072158651301055e-05,0.004072158651301055
12t,3,1,4.072158651301055e-05,0.004072158651301055
12tn,4,1,4.072158651301055e-05,0.004072158651301055
2tns,4,9,0.0003664942786170949,0.036649427861709494
1s,2,169,0.006881948120698782,0.6881948120698782
1so,3,85,0.0034613348536058964,0.34613348536058963
sos,3,10,0.00040721586513010546,0.04072158651301055
1o,2,2680,0.10913385185486826,10.901168709532923
1op,3,47,0.0019139145661114956,0.19139145661114956
1oo,3,722,0.029400985462393614,2.940098546239361
1oor,4,98,0.003990715478275034,0.39907154782750337
1p,2,395,0.016085026672639165,1.6085026672639164
1po,3,298,0.012135032780877143,1.2135032780877142
poo,3,190,0.007737101437472004,0.7737101437472004
1poo,4,75,0.003054118988475791,0.3054118988475791
pooo,4,36,0.0014659771144683797,0.14659771144683797
1oos,4,48,0.0019546361526245064,0.19546361526245065
oosr,4,50,0.0020360793256505275,0.20360793256505275
1q,2,366,0.01490410066376186,1.490410066376186
1qt,3,77,0.003135562161501812,0.3135562161501812
qts,3,22,0.000895874903286232,0.0895874903286232
1qts,4,11,0.000447937451643116,0.0447937451643116
qtsr,4,15,0.0006108237976951582,0.061082379769515825
tsrn,4,70,0.0028505110559107383,0.28505110559107383
1os,3,181,0.007370607158854909,0.7370607158854908
st,2,15,0.0006108237976951582,0.061082379769515825
ost,3,7,0.00028505110559107384,0.028505110559107386
str,3,4,0.0001628863460520422,0.01628863460520422
1ost,4,2,8.14431730260211e-05,0.00814431730260211
ostr,4,3,0.00012216475953903165,0.012216475953903166
strn,4,4,0.0001628863460520422,0.01628863460520422
1t,2,279,0.011361322637129943,1.1320601050616932
1tn,3,22,0.000895874903286232,0.0895874903286232
pos,3,111,0.004520096102944171,0.4520096102944171
1pos,4,30,0.0012216475953903164,0.12216475953903165
posr,4,25,0.0010180396628252637,0.10180396628252637
aa,2,7,0.00028505110559107384,0.028505110559107386
ap,2,35,0.0014252555279553691,0.14252555279553691
1oa,3,69,0.0028097894693977278,0.28097894693977277
oaa,3,5,0.00020360793256505273,0.020360793256505274
aap,3,2,8.14431730260211e-05,0.00814431730260211
apo,3,33,0.001343812354929348,0.13438123549293482
1oaa,4,1,4.072158651301055e-05,0.004072158651301055
oaap,4,1,4.072158651301055e-05,0.004072158651301055
aapo,4,2,8.14431730260211e-05,0.00814431730260211
1ooo,4,117,0.004764425622022234,0.4764425622022234
oooo,4,106,0.004316488170379118,0.3502056440118907
1r,2,113,0.004601539275970192,0.4601539275970192
1rn,3,87,0.0035427780266319175,0.35427780266319175
1rnn,4,18,0.0007329885572341898,0.07329885572341899
oao,3,56,0.0022804088447285907,0.22396872582155802
1por,4,52,0.0021175224986765486,0.21175224986765487
1ot,3,138,0.0056195789387954555,0.5619578938795455
1no,3,85,0.0034613348536058964,0.34613348536058963
not,3,13,0.0005293806246691371,0.05293806246691372
1not,4,7,0.00028505110559107384,0.028505110559107386
notr,4,6,0.0002443295190780633,0.02443295190780633
1on,3,81,0.0032984485075538542,0.32984485075538544
1to,3,66,0.002687624709858696,0.26876247098586964
1tr,3,101,0.0041128802378140655,0.41128802378140655
rno,3,57,0.0023211304312416013,0.23211304312416012
nor,3,52,0.0021175224986765486,0.21175224986765487
1trn,4,34,0.0013845339414423586,0.13845339414423585
trno,4,27,0.0010994828358512848,0.10994828358512848
rnor,4,2,8.14431730260211e-05,0.00814431730260211
norn,4,50,0.0020360793256505275,0.20360793256505275
1nn,3,408,0.016614407297308304,1.6614407297308305
1ns,3,135,0.005497414179256424,0.5497414179256424
nsr,3,140,0.005701022111821477,0.5701022111821477
1nsr,4,121,0.004927311968074276,0.4927311968074276
nsrn,4,135,0.005497414179256424,0.5497414179256424
1nt,3,64,0.002606181536832675,0.2606181536832675
ntn,3,36,0.0014659771144683797,0.14659771144683797
1pon,4,4,0.0001628863460520422,0.01628863460520422
1or,3,226,0.009203078551940384,0.9203078551940383
poos,4,27,0.0010994828358512848,0.10994828358512848
nno,3,36,0.0014659771144683797,0.14659771144683797
nos,3,29,0.001180926008877306,0.11809260088773059
1nno,4,18,0.0007329885572341898,0.07329885572341899
nnos,4,2,8.14431730260211e-05,0.00814431730260211
nosr,4,11,0.000447937451643116,0.0447937451643116
1otn,4,5,0.00020360793256505273,0.020360793256505274
poa,3,18,0.0007329885572341898,0.07329885572341899
1poa,4,9,0.0003664942786170949,0.036649427861709494
poar,4,9,0.0003664942786170949,0.036649427861709494
1tnn,4,1,4.072158651301055e-05,0.004072158651301055
ooor,4,64,0.002606181536832675,0.2606181536832675
1qn,3,54,0.0021989656717025696,0.21989656717025696
qns,3,52,0.0021175224986765486,0.21175224986765487
1ntr,4,35,0.0014252555279553691,0.14252555279553691
pons,4,3,0.00012216475953903165,0.012216475953903166
ots,3,36,0.0014659771144683797,0.14659771144683797
1ots,4,10,0.00040721586513010546,0.04072158651301055
otsr,4,16,0.0006515453842081688,0.06515453842081688
1qtr,4,47,0.0019139145661114956,0.19139145661114956
trns,4,31,0.001262369181903327,0.1262369181903327
pp,2,39,0.0015881418740074113,0.14659771144683797
1pp,3,18,0.0007329885572341898,0.07329885572341899
ppo,3,34,0.0013845339414423586,0.13845339414423585
1ppo,4,13,0.0005293806246691371,0.05293806246691372
ppor,4,8,0.0003257726921040844,0.03257726921040844
1tor,4,21,0.0008551533167732215,0.08551533167732214
1otr,4,56,0.0022804088447285907,0.22804088447285908
rnr,3,46,0.001873192979598485,0.1873192979598485
trnr,4,18,0.0007329885572341898,0.07329885572341899
rnrn,4,45,0.0018324713930854746,0.18324713930854747
1orn,4,47,0.0019139145661114956,0.19139145661114956
orns,4,46,0.001873192979598485,0.1873192979598485
oto,3,80,0.0032577269210408437,0.3257726921040844
oan,3,29,0.001180926008877306,0.11809260088773059
1a,2,167,0.006800504947672761,0.6800504947672761
1ao,3,97,0.003949993891762023,0.3949993891762023
1osr,4,92,0.00374638595919697,0.374638595919697
1opo,4,17,0.0006922669707211793,0.06922669707211793
opos,4,10,0.00040721586513010546,0.04072158651301055
3,1,595,0.024229343975241277,2.4188622388728263
3o,2,48,0.0019546361526245064,0.19546361526245065
3on,3,4,0.0001628863460520422,0.01628863460520422
ono,3,20,0.0008144317302602109,0.0814431730260211
non,3,65,0.0026469031233456856,0.2646903123345686
onq,3,2,8.14431730260211e-05,0.00814431730260211
3ono,4,2,8.14431730260211e-05,0.00814431730260211
onon,4,6,0.0002443295190780633,0.02443295190780633
nonq,4,1,4.072158651301055e-05,0.004072158651301055
3t,2,476,0.01938347518019302,1.9383475180193022
3to,3,58,0.002361852017754612,0.23618520177546118
top,3,9,0.0003664942786170949,0.036649427861709494
3top,4,2,8.14431730260211e-05,0.00814431730260211
topo,4,4,0.0001628863460520422,0.01628863460520422
opoo,4,10,0.00040721586513010546,0.04072158651301055
sq,2,15,0.0006108237976951582,0.061082379769515825
qo,2,71,0.002891232642423749,0.2769067882884717
3os,3,3,0.00012216475953903165,0.012216475953903166
osq,3,4,0.0001628863460520422,0.01628863460520422
sqo,3,7,0.00028505110559107384,0.028505110559107386
qor,3,29,0.001180926008877306,0.11809260088773059
3osq,4,1,4.072158651301055e-05,0.004072158651301055
osqo,4,2,8.14431730260211e-05,0.00814431730260211
sqor,4,3,0.00012216475953903165,0.012216475953903166
qorn,4,27,0.0010994828358512848,0.10994828358512848
3tr,3,50,0.0020360793256505275,0.20360793256505275
3trn,4,21,0.0008551533167732215,0.08551533167732214
3tn,3,153,0.006230402736490614,0.6230402736490613
3q,2,25,0.0010180396628252637,0.10180396628252637
3qt,3,21,0.0008551533167732215,0.08551533167732214
3qto,4,2,8.14431730260211e-05,0.00814431730260211
qton,4,6,0.0002443295190780633,0.02443295190780633
3too,4,11,0.000447937451643116,0.0447937451643116
tooa,4,6,0.0002443295190780633,0.02443295190780633
3or,3,7,0.00028505110559107384,0.028505110559107386
rna,3,19,0.0007737101437472004,0.07737101437472003
nan,3,14,0.0005701022111821477,0.05701022111821477
3orn,4,5,0.00020360793256505273,0.020360793256505274
orna,4,5,0.00020360793256505273,0.020360793256505274
rnan,4,4,0.0001628863460520422,0.01628863460520422
3a,2,5,0.00020360793256505273,0.020360793256505274
3p,2,12,0.0004886590381561266,0.04886590381561266
3tq,3,46,0.001873192979598485,0.1873192979598485
tqo,3,15,0.0006108237976951582,0.061082379769515825
3tqo,4,3,0.00012216475953903165,0.012216475953903166
tqor,4,3,0.00012216475953903165,0.012216475953903166
rqt,3,13,0.0005293806246691371,0.05293806246691372
3trq,4,1,4.072158651301055e-05,0.004072158651301055
trqt,4,2,8.14431730260211e-05,0.00814431730260211
3ot,3,13,0.0005293806246691371,0.05293806246691372
3n,2,19,0.0007737101437472004,0.07737101437472003
sp,2,53,0.002158244085189559,0.2158244085189559
3nn,3,5,0.00020360793256505273,0.020360793256505274
nnt,3,31,0.001262369181903327,0.1262369181903327
nts,3,7,0.00028505110559107384,0.028505110559107386
tsp,3,8,0.0003257726921040844,0.03257726921040844
spo,3,51,0.002076800912163538,0.2076800912163538
ooq,3,3,0.00012216475953903165,0.012216475953903166
3nnt,4,3,0.00012216475953903165,0.012216475953903166
nnts,4,2,8.14431730260211e-05,0.00814431730260211
ntsp,4,1,4.072158651301055e-05,0.004072158651301055
tspo,4,8,0.0003257726921040844,0.03257726921040844
spoo,4,23,0.0009365964897992425,0.09365964897992425
pooq,4,1,4.072158651301055e-05,0.004072158651301055
a2,2,4,0.0001628863460520422,0.01628863460520422
a2t,3,3,0.00012216475953903165,0.012216475953903166
tqr,3,120,0.004886590381561266,0.4886590381561266
2tqr,4,84,0.003420613267092886,0.34206132670928857
tqrn,4,116,0.004723704035509224,0.47237040355092236
qrnn,4,43,0.0017510282200594535,0.17510282200594535
tnq,3,21,0.0008551533167732215,0.08551533167732214
nqn,3,22,0.000895874903286232,0.0814431730260211
2tnq,4,6,0.0002443295190780633,0.02443295190780633
tnqn,4,4,0.0001628863460520422,0.01628863460520422
sooo,4,33,0.001343812354929348,0.13438123549293482
rnq,3,30,0.0012216475953903164,0.12216475953903165
nqt,3,11,0.000447937451643116,0.0447937451643116
trnq,4,12,0.0004886590381561266,0.04886590381561266
rnqt,4,2,8.14431730260211e-05,0.00814431730260211
tpoo,4,14,0.0005701022111821477,0.05701022111821477
ornq,4,9,0.0003664942786170949,0.036649427861709494
toot,4,4,0.0001628863460520422,0.01628863460520422
ooto,4,9,0.0003664942786170949,0.036649427861709494
oton,4,28,0.0011402044223642954,0.11402044223642954
2a,2,13,0.0005293806246691371,0.05293806246691372
at,2,18,0.0007329885572341898,0.07329885572341899
2at,3,9,0.0003664942786170949,0.036649427861709494
atn,3,8,0.0003257726921040844,0.03257726921040844
2atn,4,1,4.072158651301055e-05,0.004072158651301055
atnn,4,1,4.072158651301055e-05,0.004072158651301055
toos,4,24,0.0009773180763122532,0.09773180763122533
arnn,4,11,0.000447937451643116,0.0447937451643116
np,2,8,0.0003257726921040844,0.03257726921040844
npo,3,7,0.00028505110559107384,0.028505110559107386
npoo,4,2,8.14431730260211e-05,0.00814431730260211
arr,3,3,0.00012216475953903165,0.012216475953903166
nsa,3,1,4.072158651301055e-05,0.004072158651301055
san,3,2,8.14431730260211e-05,0.00814431730260211
tarr,4,3,0.00012216475953903165,0.012216475953903166
arrn,4,3,0.00012216475953903165,0.012216475953903166
rrns,4,1,4.072158651301055e-05,0.004072158651301055
rnsa,4,1,4.072158651301055e-05,0.004072158651301055
nsan,4,1,4.072158651301055e-05,0.004072158651301055
r2,2,24,0.0009773180763122532,0.09773180763122533
r2t,3,21,0.0008551533167732215,0.08551533167732214
tst,3,1,4.072158651301055e-05,0.004072158651301055
sto,3,7,0.00028505110559107384,0.028505110559107386
2tst,4,1,4.072158651301055e-05,0.004072158651301055
tsto,4,1,4.072158651301055e-05,0.004072158651301055
nqns,4,1,4.072158651301055e-05,0.004072158651301055
2tno,4,26,0.0010587612493382743,0.10587612493382743
tnon,4,14,0.0005701022111821477,0.05701022111821477
tort,4,4,0.0001628863460520422,0.01628863460520422
rtoo,4,3,0.00012216475953903165,0.012216475953903166
r2tr,4,4,0.0001628863460520422,0.01628863460520422
qqs,3,3,0.00012216475953903165,0.012216475953903166
pot,3,45,0.0018324713930854746,0.18324713930854747
2pot,4,15,0.0006108237976951582,0.061082379769515825
