source,question id,encoding,cluster id,source percentage,label percentage,color
201-GSGeoQA-Dataset,15,3porn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,16,totn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,17,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,18,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,19,1ns,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,20,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,21,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,22,3tn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,23,3tna,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,24,3to,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,25,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,26,3trqn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,27,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,28,2onqt,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,29,3trtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,30,1ns,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,31,2ortrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,32,1otrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,33,3rnrt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,34,3to,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,35,otn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,36,3tao,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,37,trnoo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,38,3qton,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,39,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,40,1ns,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,41,ootorn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,42,torrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,43,toon,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,44,1ns,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,45,1ns,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,46,3trnt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,47,tn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,48,3trtotrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,49,3torn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,50,otoo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,51,6trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,52,3qtorn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,53,3trnqt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,54,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,55,tnorn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,56,2qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,57,oqtrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,58,3rnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,59,3tqrnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,60,3trnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,61,3trnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,62,3rnroot,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,63,3trnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,64,3trnonoot,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,65,3rnrnt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,66,3torn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,67,3ttontrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,68,3tno,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,69,1sotrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,70,3otporn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,71,3trnqrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,72,3toprnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,73,trto,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,74,otoorn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,75,trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,76,otorn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,77,oton,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,78,6qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,79,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,80,otrtrnsrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,81,trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,82,otrtrnqoto,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,83,otrnt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,84,3ttrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,85,3trnoo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,86,3rnoo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,87,3tns,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,88,2ortarn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,89,onrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,90,3trnpo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,91,6qtnto,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,92,3tna,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,93,onon,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,94,3on,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,95,ootrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,96,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,97,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,98,3qqtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,99,3otpt,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,100,2ortnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,101,otrnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,102,otrnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,103,oorn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,104,tnotn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,105,nsrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,106,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,107,oornrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,108,6trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,109,otrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,110,otrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,111,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,112,3tn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,113,norn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,114,norn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,115,6qttoo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,116,6qtn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,117,otrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,118,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,119,2qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,120,3qtrnrnt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,121,onrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,122,otrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,123,tporn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,124,1potrnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,125,tnon,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,126,3trnno,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,127,ntrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,128,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,129,3trnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,130,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,131,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,132,3ton,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,133,otornrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,134,3tqto,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,135,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,136,3trnpo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,137,3qtrtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,138,norn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,139,ttrnt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,140,narn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,141,3trnt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,142,nrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,143,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,144,6torn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,145,trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,146,3tosn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,147,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,148,6qtn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,149,3qqqtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,150,2oornn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,151,3trnrnn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,152,3qttrnn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,153,otrnn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,154,otrrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,155,2qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,156,3oo,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,157,2ortrt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,158,2trto,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,159,3trtn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,160,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,161,2ortn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,162,1ns,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,163,nt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,164,6qtot,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,165,nrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,166,no,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,167,nornt,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,168,otrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,169,ootrtrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,170,3otqrtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,171,totno,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,172,2qton,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,173,3rnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,174,otrn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,175,3qtrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,176,3trno,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,177,2nqtqrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,178,2trnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,179,toooorn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
201-GSGeoQA-Dataset,180,nrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,181,3trnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,182,2trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,183,nnnrn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,184,3trn,0,69.0,0.7713375440165446,"(0.6196078431372549, 0.00392156862745098, 0.25882352941176473, 1.0)"
201-GSGeoQA-Dataset,185,otorn,1,31.0,0.8522336769759451,"(0.3686274509803922, 0.30980392156862746, 0.6352941176470588, 1.0)"
